fonte,familia,inicio_utc,fim_utc,estado,total_reportado,resultados_recuperados,limite_solicitado,url_sem_credenciais,hash_resposta,erro_ou_limitacao
OpenAlex,A_governanca_de_llms,2026-08-22T21:15:21+00:00,2026-08-22T21:15:23+00:00,executada,10854,100,100,https://api.openalex.org/works?search=large+language+model+generative+AI+governance+accountability+compliance+audit+risk&filter=to_publication_date%3A2026-07-31&per-page=100&page=1&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Cauthorships%2Cprimary_location%2Cabstract_inverted_index,20aaf1b1c428b6552d99d1557b933e1bad1ac62f5b704706b8592d2e550b986c,
OpenAlex,B_llmops_e_observabilidade,2026-08-22T21:15:23+00:00,2026-08-22T21:15:25+00:00,executada,33,33,100,https://api.openalex.org/works?search=LLMOps+observability+monitoring+guardrails+governance+compliance+audit&filter=to_publication_date%3A2026-07-31&per-page=100&page=1&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Cauthorships%2Cprimary_location%2Cabstract_inverted_index,3df2496545dd8bcc0e23311eaed91ea90bb0808017f8dae0e447182f7966c4f1,
OpenAlex,C_governanca_conversacional,2026-08-22T21:15:25+00:00,2026-08-22T21:15:27+00:00,executada,2505,100,100,https://api.openalex.org/works?search=conversational+AI+chatbot+AI+agent+large+language+model+governance+oversight+accountability&filter=to_publication_date%3A2026-07-31&per-page=100&page=1&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Cauthorships%2Cprimary_location%2Cabstract_inverted_index,c520b0f12d8d2818b27f3fa00192e17186f82112ef90f5c1b66648ba7b7bc9df,
OpenAlex,D_ambientes_regulados,2026-08-22T21:15:27+00:00,2026-08-22T21:15:29+00:00,executada,1028,100,100,https://api.openalex.org/works?search=large+language+model+generative+AI+regulated+healthcare+finance+government+legal+insurance+risk+compliance+governance&filter=to_publication_date%3A2026-07-31&per-page=100&page=1&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Cauthorships%2Cprimary_location%2Cabstract_inverted_index,c1d25c01bbcf667b2e829db47f365f06fce925cec969bde5c826d527f1c45048,
OpenAlex,E_supervisao_e_contestabilidade,2026-08-22T21:15:29+00:00,2026-08-22T21:15:30+00:00,executada,8,8,100,https://api.openalex.org/works?search=large+language+model+chatbot+human+oversight+human+in+the+loop+contestability+redress+appeal+escalation+handoff&filter=to_publication_date%3A2026-07-31&per-page=100&page=1&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Cauthorships%2Cprimary_location%2Cabstract_inverted_index,96be0a43aa78d36e5723a00aa6b2ea644e22fd60b7a2123fbfaa2ad58297ebea,
Crossref,A_governanca_de_llms,2026-08-22T21:15:31+00:00,2026-08-22T21:15:32+00:00,executada,283365,100,100,https://api.crossref.org/works?query.bibliographic=large+language+model+generative+AI+governance+accountability+compliance+audit+risk&filter=until-pub-date%3A2026-07-31&rows=100&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2CURL%2Cabstract,2947aa2b34aa759dc7bcba19664fdbe90155e0a0a028915776f20d82fd614880,
Crossref,B_llmops_e_observabilidade,2026-08-22T21:15:32+00:00,2026-08-22T21:15:33+00:00,executada,1286147,100,100,https://api.crossref.org/works?query.bibliographic=LLMOps+observability+monitoring+guardrails+governance+compliance+audit&filter=until-pub-date%3A2026-07-31&rows=100&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2CURL%2Cabstract,8840c83eeea69f29eccd456c238ac9c469a24c2ee8386878274abbee5ca04319,
Crossref,C_governanca_conversacional,2026-08-22T21:15:33+00:00,2026-08-22T21:15:35+00:00,executada,617371,100,100,https://api.crossref.org/works?query.bibliographic=conversational+AI+chatbot+AI+agent+large+language+model+governance+oversight+accountability&filter=until-pub-date%3A2026-07-31&rows=100&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2CURL%2Cabstract,bd6c5285db1dac3f3a80d936e4b563d182ea70680716d42e4ed1cdc3d9a4d5d3,
Crossref,D_ambientes_regulados,2026-08-22T21:15:35+00:00,2026-08-22T21:15:36+00:00,executada,437355,100,100,https://api.crossref.org/works?query.bibliographic=large+language+model+generative+AI+regulated+healthcare+finance+government+legal+insurance+risk+compliance+governance&filter=until-pub-date%3A2026-07-31&rows=100&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2CURL%2Cabstract,0e23f0e41579f97cea99ea10fc6ad4ca650bf697fb6419414a2176373dffe932,
Crossref,E_supervisao_e_contestabilidade,2026-08-22T21:15:37+00:00,2026-08-22T21:15:38+00:00,executada,3020604,100,100,https://api.crossref.org/works?query.bibliographic=large+language+model+chatbot+human+oversight+human+in+the+loop+contestability+redress+appeal+escalation+handoff&filter=until-pub-date%3A2026-07-31&rows=100&select=DOI%2Ctitle%2Cauthor%2Cpublished%2Ccontainer-title%2CURL%2Cabstract,8d99ae16c8d096fc3eba1426c9c27792d554481f7bbff635ae21e09234a6e1ab,
Semantic Scholar,A_governanca_de_llms,2026-08-22T21:15:38+00:00,2026-08-22T21:15:56+00:00,falhou,não informado,0,100,,,HTTPError: HTTP Error 429: 
Semantic Scholar,B_llmops_e_observabilidade,2026-08-22T21:15:56+00:00,2026-08-22T21:16:14+00:00,falhou,não informado,0,100,,,HTTPError: HTTP Error 429: 
Semantic Scholar,C_governanca_conversacional,2026-08-22T21:16:15+00:00,2026-08-22T21:16:32+00:00,falhou,não informado,0,100,,,HTTPError: HTTP Error 429: 
Semantic Scholar,D_ambientes_regulados,2026-08-22T21:16:33+00:00,2026-08-22T21:16:51+00:00,falhou,não informado,0,100,,,HTTPError: HTTP Error 429: 
Semantic Scholar,E_supervisao_e_contestabilidade,2026-08-22T21:16:51+00:00,2026-08-22T21:17:09+00:00,falhou,não informado,0,100,,,HTTPError: HTTP Error 429: 
PubMed,A_governanca_de_llms,2026-08-22T21:17:09+00:00,2026-08-22T21:17:09+00:00,bloqueada,não informado,0,100,,,RuntimeError: NCBI_EMAIL ausente
PubMed,B_llmops_e_observabilidade,2026-08-22T21:17:10+00:00,2026-08-22T21:17:10+00:00,bloqueada,não informado,0,100,,,RuntimeError: NCBI_EMAIL ausente
PubMed,C_governanca_conversacional,2026-08-22T21:17:10+00:00,2026-08-22T21:17:10+00:00,bloqueada,não informado,0,100,,,RuntimeError: NCBI_EMAIL ausente
PubMed,D_ambientes_regulados,2026-08-22T21:17:10+00:00,2026-08-22T21:17:10+00:00,bloqueada,não informado,0,100,,,RuntimeError: NCBI_EMAIL ausente
PubMed,E_supervisao_e_contestabilidade,2026-08-22T21:17:11+00:00,2026-08-22T21:17:11+00:00,bloqueada,não informado,0,100,,,RuntimeError: NCBI_EMAIL ausente
Europe PMC,A_governanca_de_llms,2026-08-22T21:17:11+00:00,2026-08-22T21:17:15+00:00,executada,112742,100,100,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%28%22large+language+model%22+OR+LLM+OR+%22generative+AI%22%29+AND+%28governance+OR+accountability+OR+compliance+OR+audit+OR+risk%29%29+AND+FIRST_PDATE%3A%5B1900-01-01+TO+2026-07-31%5D&format=json&pageSize=100&resultType=core,cd485f36301fe5e7720f62437ddb94861173971ebb8f4c6603c78528c294c5c7,
Europe PMC,B_llmops_e_observabilidade,2026-08-22T21:17:15+00:00,2026-08-22T21:17:18+00:00,executada,1179,100,100,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%28LLMOps+OR+%22LLM+observability%22+OR+%22large+language+model+monitoring%22+OR+guardrails%29+AND+%28governance+OR+compliance+OR+audit%29%29+AND+FIRST_PDATE%3A%5B1900-01-01+TO+2026-07-31%5D&format=json&pageSize=100&resultType=core,13619d5f0f9c280870b64933a0596b850e0a8724627b69dbbd579d97c85e8d14,
Europe PMC,C_governanca_conversacional,2026-08-22T21:17:18+00:00,2026-08-22T21:17:21+00:00,executada,2444,100,100,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%28%22conversational+AI%22+OR+chatbot+OR+%22AI+agent%22+OR+%22conversational+agent%22%29+AND+%28%22large+language+model%22+OR+LLM+OR+%22generative+AI%22%29+AND+%28governance+OR+oversight+OR+accountability%29%29+AND+FIRST_PDATE%3A%5B1900-01-01+TO+2026-07-31%5D&format=json&pageSize=100&resultType=core,1c9e691b95e8601c33e24656d8849b43452c88147ad13e5b9baa41a2545af414,
Europe PMC,D_ambientes_regulados,2026-08-22T21:17:22+00:00,2026-08-22T21:17:25+00:00,executada,71834,100,100,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%28%22large+language+model%22+OR+LLM+OR+%22generative+AI%22%29+AND+%28regulated+OR+healthcare+OR+finance+OR+government+OR+legal+OR+insurance%29+AND+%28risk+OR+audit+OR+compliance+OR+governance%29%29+AND+FIRST_PDATE%3A%5B1900-01-01+TO+2026-07-31%5D&format=json&pageSize=100&resultType=core,1dc28eddb9e700c83053dd5d05b5a179128f9832ad7f394000fedf80abda8a8a,
Europe PMC,E_supervisao_e_contestabilidade,2026-08-22T21:17:25+00:00,2026-08-22T21:17:28+00:00,executada,5186,100,100,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%28%22large+language+model%22+OR+LLM+OR+chatbot%29+AND+%28%22human+oversight%22+OR+%22human-in-the-loop%22+OR+contestability+OR+redress+OR+appeal+OR+escalation+OR+handoff%29%29+AND+FIRST_PDATE%3A%5B1900-01-01+TO+2026-07-31%5D&format=json&pageSize=100&resultType=core,1ae107ceff157251863186c642e0474622b87f750f095c8c1f865b334216bec8,
CORE,A_governanca_de_llms,2026-08-22T21:17:29+00:00,2026-08-22T21:17:29+00:00,bloqueada,não informado,0,100,,,RuntimeError: CORE_API_KEY ausente
CORE,B_llmops_e_observabilidade,2026-08-22T21:17:29+00:00,2026-08-22T21:17:29+00:00,bloqueada,não informado,0,100,,,RuntimeError: CORE_API_KEY ausente
CORE,C_governanca_conversacional,2026-08-22T21:17:30+00:00,2026-08-22T21:17:30+00:00,bloqueada,não informado,0,100,,,RuntimeError: CORE_API_KEY ausente
CORE,D_ambientes_regulados,2026-08-22T21:17:30+00:00,2026-08-22T21:17:30+00:00,bloqueada,não informado,0,100,,,RuntimeError: CORE_API_KEY ausente
CORE,E_supervisao_e_contestabilidade,2026-08-22T21:17:30+00:00,2026-08-22T21:17:30+00:00,bloqueada,não informado,0,100,,,RuntimeError: CORE_API_KEY ausente
arXiv,A_governanca_de_llms,2026-08-22T21:17:31+00:00,2026-08-22T21:17:31+00:00,executada,1,1,100,https://export.arxiv.org/api/query?search_query=all%3Alarge+AND+all%3Alanguage+AND+all%3Amodel+AND+all%3Agenerative+AND+all%3Agovernance+AND+all%3Aaccountability+AND+all%3Acompliance+AND+all%3Aaudit+AND+all%3Arisk&start=0&max_results=100&sortBy=relevance&sortOrder=descending,9fbf226954f2402a169bd9ec34df6a5feb6da5597fa4dc61fe7bda0bfc53be77,
arXiv,B_llmops_e_observabilidade,2026-08-22T21:17:31+00:00,2026-08-22T21:17:32+00:00,executada,0,0,100,https://export.arxiv.org/api/query?search_query=all%3ALLMOps+AND+all%3Aobservability+AND+all%3Amonitoring+AND+all%3Aguardrails+AND+all%3Agovernance+AND+all%3Acompliance+AND+all%3Aaudit&start=0&max_results=100&sortBy=relevance&sortOrder=descending,7b5a904cb6aa9d33d277fe3f4d1cfd7b6e256730546b1ea7dc1c85dd5a2cf55c,
arXiv,C_governanca_conversacional,2026-08-22T21:17:32+00:00,2026-08-22T21:17:32+00:00,executada,0,0,100,https://export.arxiv.org/api/query?search_query=all%3Aconversational+AND+all%3Achatbot+AND+all%3Aagent+AND+all%3Alarge+AND+all%3Alanguage+AND+all%3Amodel+AND+all%3Agovernance+AND+all%3Aoversight+AND+all%3Aaccountability&start=0&max_results=100&sortBy=relevance&sortOrder=descending,0b6f07425c9cbf5ac473d181ef08f06401b1e1b564359c21c90931d7f00cb0f8,
arXiv,D_ambientes_regulados,2026-08-22T21:17:33+00:00,2026-08-22T21:17:33+00:00,executada,0,0,100,https://export.arxiv.org/api/query?search_query=all%3Alarge+AND+all%3Alanguage+AND+all%3Amodel+AND+all%3Agenerative+AND+all%3Aregulated+AND+all%3Ahealthcare+AND+all%3Afinance+AND+all%3Agovernment+AND+all%3Alegal+AND+all%3Ainsurance+AND+all%3Arisk+AND+all%3Acompliance&start=0&max_results=100&sortBy=relevance&sortOrder=descending,641a9b8e76fd22a4fce0a8a1ceaf66019f91a2efdf152d5c9f173051e905d82f,
arXiv,E_supervisao_e_contestabilidade,2026-08-22T21:17:33+00:00,2026-08-22T21:17:33+00:00,executada,0,0,100,https://export.arxiv.org/api/query?search_query=all%3Alarge+AND+all%3Alanguage+AND+all%3Amodel+AND+all%3Achatbot+AND+all%3Ahuman+AND+all%3Aoversight+AND+all%3Ahuman+AND+all%3Athe+AND+all%3Aloop+AND+all%3Acontestability+AND+all%3Aredress+AND+all%3Aappeal&start=0&max_results=100&sortBy=relevance&sortOrder=descending,a19f63ed275aa8401704f125d089fbe8fbad9ea59133bde72c1a93e677bbada1,
DOAJ,A_governanca_de_llms,2026-08-22T21:17:34+00:00,2026-08-22T21:17:34+00:00,executada,0,0,100,https://doaj.org/api/search/articles/large%20language%20model%20generative%20AI%20governance%20accountability%20compliance%20audit%20risk?page=1&pageSize=100,dea95109af8c9a3eb75a8ed01fe0480818947035a14062dc452202c84449bc4f,
DOAJ,B_llmops_e_observabilidade,2026-08-22T21:17:34+00:00,2026-08-22T21:17:35+00:00,executada,0,0,100,https://doaj.org/api/search/articles/LLMOps%20observability%20monitoring%20guardrails%20governance%20compliance%20audit?page=1&pageSize=100,a69347137716a58d4e4914647aa95067a4f6b20d41a080b7ab82706cb8d1bdc1,
DOAJ,C_governanca_conversacional,2026-08-22T21:17:35+00:00,2026-08-22T21:17:36+00:00,executada,0,0,100,https://doaj.org/api/search/articles/conversational%20AI%20chatbot%20AI%20agent%20large%20language%20model%20governance%20oversight%20accountability?page=1&pageSize=100,c6ef72a0b7c87f923eee83ad9aa33ff9b59de742a158364de7fd2cfeaaf218c0,
DOAJ,D_ambientes_regulados,2026-08-22T21:17:36+00:00,2026-08-22T21:17:36+00:00,executada,0,0,100,https://doaj.org/api/search/articles/large%20language%20model%20generative%20AI%20regulated%20healthcare%20finance%20government%20legal%20insurance%20risk%20compliance%20governance?page=1&pageSize=100,4cda223e555d87ccd4cbeaba6f759d969fb11128aa03302ede9a4a6959bd25ae,
DOAJ,E_supervisao_e_contestabilidade,2026-08-22T21:17:37+00:00,2026-08-22T21:17:37+00:00,executada,0,0,100,https://doaj.org/api/search/articles/large%20language%20model%20chatbot%20human%20oversight%20human%20in%20the%20loop%20contestability%20redress%20appeal%20escalation%20handoff?page=1&pageSize=100,093f40e176b39dfd8b706e262a88a8732a6062f08ca55d639fbeb5d36df128ad,
