"fonte","familia","consulta_canonica","consulta_operacional","corte_publicacao","limite_inicial","estado","resultados_recuperados","total_reportado","inicio_utc","fim_utc","hash_resposta","erro_ou_limitacao"
"OpenAlex","A_governanca_de_llms","(""large language model"" OR LLM OR ""generative AI"") AND (governance OR accountability OR compliance OR audit OR risk)","large language model generative AI governance accountability compliance audit risk","2026-07-31","100","executada","100","10854","2026-08-22T21:15:21+00:00","2026-08-22T21:15:23+00:00","20aaf1b1c428b6552d99d1557b933e1bad1ac62f5b704706b8592d2e550b986c",""
"OpenAlex","B_llmops_e_observabilidade","(LLMOps OR ""LLM observability"" OR ""large language model monitoring"" OR guardrails) AND (governance OR compliance OR audit)","LLMOps observability monitoring guardrails governance compliance audit","2026-07-31","100","executada","33","33","2026-08-22T21:15:23+00:00","2026-08-22T21:15:25+00:00","3df2496545dd8bcc0e23311eaed91ea90bb0808017f8dae0e447182f7966c4f1",""
"OpenAlex","C_governanca_conversacional","(""conversational AI"" OR chatbot OR ""AI agent"" OR ""conversational agent"") AND (""large language model"" OR LLM OR ""generative AI"") AND (governance OR oversight OR accountability)","conversational AI chatbot AI agent large language model governance oversight accountability","2026-07-31","100","executada","100","2505","2026-08-22T21:15:25+00:00","2026-08-22T21:15:27+00:00","c520b0f12d8d2818b27f3fa00192e17186f82112ef90f5c1b66648ba7b7bc9df",""
"OpenAlex","D_ambientes_regulados","(""large language model"" OR LLM OR ""generative AI"") AND (regulated OR healthcare OR finance OR government OR legal OR insurance) AND (risk OR audit OR compliance OR governance)","large language model generative AI regulated healthcare finance government legal insurance risk compliance governance","2026-07-31","100","executada","100","1028","2026-08-22T21:15:27+00:00","2026-08-22T21:15:29+00:00","c1d25c01bbcf667b2e829db47f365f06fce925cec969bde5c826d527f1c45048",""
"OpenAlex","E_supervisao_e_contestabilidade","(""large language model"" OR LLM OR chatbot) AND (""human oversight"" OR ""human-in-the-loop"" OR contestability OR redress OR appeal OR escalation OR handoff)","large language model chatbot human oversight human in the loop contestability redress appeal escalation handoff","2026-07-31","100","executada","8","8","2026-08-22T21:15:29+00:00","2026-08-22T21:15:30+00:00","96be0a43aa78d36e5723a00aa6b2ea644e22fd60b7a2123fbfaa2ad58297ebea",""
"Crossref","A_governanca_de_llms","(""large language model"" OR LLM OR ""generative AI"") AND (governance OR accountability OR compliance OR audit OR risk)","large language model generative AI governance accountability compliance audit risk","2026-07-31","100","executada","100","283365","2026-08-22T21:15:31+00:00","2026-08-22T21:15:32+00:00","2947aa2b34aa759dc7bcba19664fdbe90155e0a0a028915776f20d82fd614880",""
"Crossref","B_llmops_e_observabilidade","(LLMOps OR ""LLM observability"" OR ""large language model monitoring"" OR guardrails) AND (governance OR compliance OR audit)","LLMOps observability monitoring guardrails governance compliance audit","2026-07-31","100","executada","100","1286147","2026-08-22T21:15:32+00:00","2026-08-22T21:15:33+00:00","8840c83eeea69f29eccd456c238ac9c469a24c2ee8386878274abbee5ca04319",""
"Crossref","C_governanca_conversacional","(""conversational AI"" OR chatbot OR ""AI agent"" OR ""conversational agent"") AND (""large language model"" OR LLM OR ""generative AI"") AND (governance OR oversight OR accountability)","conversational AI chatbot AI agent large language model governance oversight accountability","2026-07-31","100","executada","100","617371","2026-08-22T21:15:33+00:00","2026-08-22T21:15:35+00:00","bd6c5285db1dac3f3a80d936e4b563d182ea70680716d42e4ed1cdc3d9a4d5d3",""
"Crossref","D_ambientes_regulados","(""large language model"" OR LLM OR ""generative AI"") AND (regulated OR healthcare OR finance OR government OR legal OR insurance) AND (risk OR audit OR compliance OR governance)","large language model generative AI regulated healthcare finance government legal insurance risk compliance governance","2026-07-31","100","executada","100","437355","2026-08-22T21:15:35+00:00","2026-08-22T21:15:36+00:00","0e23f0e41579f97cea99ea10fc6ad4ca650bf697fb6419414a2176373dffe932",""
"Crossref","E_supervisao_e_contestabilidade","(""large language model"" OR LLM OR chatbot) AND (""human oversight"" OR ""human-in-the-loop"" OR contestability OR redress OR appeal OR escalation OR handoff)","large language model chatbot human oversight human in the loop contestability redress appeal escalation handoff","2026-07-31","100","executada","100","3020604","2026-08-22T21:15:37+00:00","2026-08-22T21:15:38+00:00","8d99ae16c8d096fc3eba1426c9c27792d554481f7bbff635ae21e09234a6e1ab",""
"Semantic Scholar","A_governanca_de_llms","(""large language model"" OR LLM OR ""generative AI"") AND (governance OR accountability OR compliance OR audit OR risk)","large language model generative AI governance accountability compliance audit risk","2026-07-31","100","falhou","0","não informado","2026-08-22T21:15:38+00:00","2026-08-22T21:15:56+00:00","","HTTPError: HTTP Error 429: "
"Semantic Scholar","B_llmops_e_observabilidade","(LLMOps OR ""LLM observability"" OR ""large language model monitoring"" OR guardrails) AND (governance OR compliance OR audit)","LLMOps observability monitoring guardrails governance compliance audit","2026-07-31","100","falhou","0","não informado","2026-08-22T21:15:56+00:00","2026-08-22T21:16:14+00:00","","HTTPError: HTTP Error 429: "
"Semantic Scholar","C_governanca_conversacional","(""conversational AI"" OR chatbot OR ""AI agent"" OR ""conversational agent"") AND (""large language model"" OR LLM OR ""generative AI"") AND (governance OR oversight OR accountability)","conversational AI chatbot AI agent large language model governance oversight accountability","2026-07-31","100","falhou","0","não informado","2026-08-22T21:16:15+00:00","2026-08-22T21:16:32+00:00","","HTTPError: HTTP Error 429: "
"Semantic Scholar","D_ambientes_regulados","(""large language model"" OR LLM OR ""generative AI"") AND (regulated OR healthcare OR finance OR government OR legal OR insurance) AND (risk OR audit OR compliance OR governance)","large language model generative AI regulated healthcare finance government legal insurance risk compliance governance","2026-07-31","100","falhou","0","não informado","2026-08-22T21:16:33+00:00","2026-08-22T21:16:51+00:00","","HTTPError: HTTP Error 429: "
"Semantic Scholar","E_supervisao_e_contestabilidade","(""large language model"" OR LLM OR chatbot) AND (""human oversight"" OR ""human-in-the-loop"" OR contestability OR redress OR appeal OR escalation OR handoff)","large language model chatbot human oversight human in the loop contestability redress appeal escalation handoff","2026-07-31","100","falhou","0","não informado","2026-08-22T21:16:51+00:00","2026-08-22T21:17:09+00:00","","HTTPError: HTTP Error 429: "
"PubMed","A_governanca_de_llms","(""large language model"" OR LLM OR ""generative AI"") AND (governance OR accountability OR compliance OR audit OR risk)","large language model generative AI governance accountability compliance audit risk","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:09+00:00","2026-08-22T21:17:09+00:00","","RuntimeError: NCBI_EMAIL ausente"
"PubMed","B_llmops_e_observabilidade","(LLMOps OR ""LLM observability"" OR ""large language model monitoring"" OR guardrails) AND (governance OR compliance OR audit)","LLMOps observability monitoring guardrails governance compliance audit","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:10+00:00","2026-08-22T21:17:10+00:00","","RuntimeError: NCBI_EMAIL ausente"
"PubMed","C_governanca_conversacional","(""conversational AI"" OR chatbot OR ""AI agent"" OR ""conversational agent"") AND (""large language model"" OR LLM OR ""generative AI"") AND (governance OR oversight OR accountability)","conversational AI chatbot AI agent large language model governance oversight accountability","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:10+00:00","2026-08-22T21:17:10+00:00","","RuntimeError: NCBI_EMAIL ausente"
"PubMed","D_ambientes_regulados","(""large language model"" OR LLM OR ""generative AI"") AND (regulated OR healthcare OR finance OR government OR legal OR insurance) AND (risk OR audit OR compliance OR governance)","large language model generative AI regulated healthcare finance government legal insurance risk compliance governance","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:10+00:00","2026-08-22T21:17:10+00:00","","RuntimeError: NCBI_EMAIL ausente"
"PubMed","E_supervisao_e_contestabilidade","(""large language model"" OR LLM OR chatbot) AND (""human oversight"" OR ""human-in-the-loop"" OR contestability OR redress OR appeal OR escalation OR handoff)","large language model chatbot human oversight human in the loop contestability redress appeal escalation handoff","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:11+00:00","2026-08-22T21:17:11+00:00","","RuntimeError: NCBI_EMAIL ausente"
"Europe PMC","A_governanca_de_llms","(""large language model"" OR LLM OR ""generative AI"") AND (governance OR accountability OR compliance OR audit OR risk)","large language model generative AI governance accountability compliance audit risk","2026-07-31","100","executada","100","112742","2026-08-22T21:17:11+00:00","2026-08-22T21:17:15+00:00","cd485f36301fe5e7720f62437ddb94861173971ebb8f4c6603c78528c294c5c7",""
"Europe PMC","B_llmops_e_observabilidade","(LLMOps OR ""LLM observability"" OR ""large language model monitoring"" OR guardrails) AND (governance OR compliance OR audit)","LLMOps observability monitoring guardrails governance compliance audit","2026-07-31","100","executada","100","1179","2026-08-22T21:17:15+00:00","2026-08-22T21:17:18+00:00","13619d5f0f9c280870b64933a0596b850e0a8724627b69dbbd579d97c85e8d14",""
"Europe PMC","C_governanca_conversacional","(""conversational AI"" OR chatbot OR ""AI agent"" OR ""conversational agent"") AND (""large language model"" OR LLM OR ""generative AI"") AND (governance OR oversight OR accountability)","conversational AI chatbot AI agent large language model governance oversight accountability","2026-07-31","100","executada","100","2444","2026-08-22T21:17:18+00:00","2026-08-22T21:17:21+00:00","1c9e691b95e8601c33e24656d8849b43452c88147ad13e5b9baa41a2545af414",""
"Europe PMC","D_ambientes_regulados","(""large language model"" OR LLM OR ""generative AI"") AND (regulated OR healthcare OR finance OR government OR legal OR insurance) AND (risk OR audit OR compliance OR governance)","large language model generative AI regulated healthcare finance government legal insurance risk compliance governance","2026-07-31","100","executada","100","71834","2026-08-22T21:17:22+00:00","2026-08-22T21:17:25+00:00","1dc28eddb9e700c83053dd5d05b5a179128f9832ad7f394000fedf80abda8a8a",""
"Europe PMC","E_supervisao_e_contestabilidade","(""large language model"" OR LLM OR chatbot) AND (""human oversight"" OR ""human-in-the-loop"" OR contestability OR redress OR appeal OR escalation OR handoff)","large language model chatbot human oversight human in the loop contestability redress appeal escalation handoff","2026-07-31","100","executada","100","5186","2026-08-22T21:17:25+00:00","2026-08-22T21:17:28+00:00","1ae107ceff157251863186c642e0474622b87f750f095c8c1f865b334216bec8",""
"CORE","A_governanca_de_llms","(""large language model"" OR LLM OR ""generative AI"") AND (governance OR accountability OR compliance OR audit OR risk)","large language model generative AI governance accountability compliance audit risk","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:29+00:00","2026-08-22T21:17:29+00:00","","RuntimeError: CORE_API_KEY ausente"
"CORE","B_llmops_e_observabilidade","(LLMOps OR ""LLM observability"" OR ""large language model monitoring"" OR guardrails) AND (governance OR compliance OR audit)","LLMOps observability monitoring guardrails governance compliance audit","2026-07-31","100","bloqueada","0","não informado","2026-08-22T21:17:29+00:00","2026-08-22T21:17:29+00:00","","RuntimeError: CORE_API_KEY ausente"
