fonte,familia_consulta,periodo_execucao,estado_cobertura,limite_solicitado,total_reportado_api,resultados_retornados,resultados_armazenados,apos_deduplicacao,texto_completo_obtido,incluidos_corpus_analitico,falhas_ou_limitacoes,compensacao,status_preservacao_dado
OpenAlex,governança de LLMs,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,ordenação e limite por combinação,deduplicação e expansão bibliográfica,ausente nos logs preservados; não reconstruído
OpenAlex,LLMOps e observabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,ordenação e limite por combinação,deduplicação e expansão bibliográfica,ausente nos logs preservados; não reconstruído
OpenAlex,governança conversacional,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,ordenação e limite por combinação,deduplicação e expansão bibliográfica,ausente nos logs preservados; não reconstruído
OpenAlex,ambientes regulados,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,ordenação e limite por combinação,deduplicação e expansão bibliográfica,ausente nos logs preservados; não reconstruído
OpenAlex,supervisão humana e contestabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,ordenação e limite por combinação,deduplicação e expansão bibliográfica,ausente nos logs preservados; não reconstruído
Crossref,governança de LLMs,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,metadados e ordenação variáveis,"validação por DOI, título e texto completo",ausente nos logs preservados; não reconstruído
Crossref,LLMOps e observabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,metadados e ordenação variáveis,"validação por DOI, título e texto completo",ausente nos logs preservados; não reconstruído
Crossref,governança conversacional,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,metadados e ordenação variáveis,"validação por DOI, título e texto completo",ausente nos logs preservados; não reconstruído
Crossref,ambientes regulados,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,metadados e ordenação variáveis,"validação por DOI, título e texto completo",ausente nos logs preservados; não reconstruído
Crossref,supervisão humana e contestabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,metadados e ordenação variáveis,"validação por DOI, título e texto completo",ausente nos logs preservados; não reconstruído
Semantic Scholar,governança de LLMs,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,restrições de taxa,"snowballing por citações, referências, autoria e veículo",ausente nos logs preservados; não reconstruído
Semantic Scholar,LLMOps e observabilidade,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,restrições de taxa,"snowballing por citações, referências, autoria e veículo",ausente nos logs preservados; não reconstruído
Semantic Scholar,governança conversacional,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,restrições de taxa,"snowballing por citações, referências, autoria e veículo",ausente nos logs preservados; não reconstruído
Semantic Scholar,ambientes regulados,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,restrições de taxa,"snowballing por citações, referências, autoria e veículo",ausente nos logs preservados; não reconstruído
Semantic Scholar,supervisão humana e contestabilidade,julho de 2026,parcial,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,restrições de taxa,"snowballing por citações, referências, autoria e veículo",ausente nos logs preservados; não reconstruído
PubMed,governança de LLMs,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,concentração biomédica,triangulação com fontes multidisciplinares,ausente nos logs preservados; não reconstruído
PubMed,LLMOps e observabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,concentração biomédica,triangulação com fontes multidisciplinares,ausente nos logs preservados; não reconstruído
PubMed,governança conversacional,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,concentração biomédica,triangulação com fontes multidisciplinares,ausente nos logs preservados; não reconstruído
PubMed,ambientes regulados,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,concentração biomédica,triangulação com fontes multidisciplinares,ausente nos logs preservados; não reconstruído
PubMed,supervisão humana e contestabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,concentração biomédica,triangulação com fontes multidisciplinares,ausente nos logs preservados; não reconstruído
Europe PMC,governança de LLMs,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,sobreposição com PubMed,"deduplicação por DOI, título e similaridade",ausente nos logs preservados; não reconstruído
Europe PMC,LLMOps e observabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,sobreposição com PubMed,"deduplicação por DOI, título e similaridade",ausente nos logs preservados; não reconstruído
Europe PMC,governança conversacional,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,sobreposição com PubMed,"deduplicação por DOI, título e similaridade",ausente nos logs preservados; não reconstruído
Europe PMC,ambientes regulados,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,sobreposição com PubMed,"deduplicação por DOI, título e similaridade",ausente nos logs preservados; não reconstruído
Europe PMC,supervisão humana e contestabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,sobreposição com PubMed,"deduplicação por DOI, título e similaridade",ausente nos logs preservados; não reconstruído
CORE,governança de LLMs,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,heterogeneidade de repositórios,validação de texto completo e metadados,ausente nos logs preservados; não reconstruído
CORE,LLMOps e observabilidade,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,heterogeneidade de repositórios,validação de texto completo e metadados,ausente nos logs preservados; não reconstruído
CORE,governança conversacional,julho de 2026,executada,até 25,não preservado,não preservado,não preservado,não preservado,não preservado,não atribuível,heterogeneidade de repositórios,validação de texto completo e metadados,ausente nos logs preservados; não reconstruído
