"id_estudo","titulo","autores","ano","doi","decisao_final","classificacao","proveniencia_tecnica","duplicata_de","arquivo_pdf","pagina_evidencia","corpus"
"CAND-000003__b2eab0fd","Auditing large language models: a three-layered approach","Jakob Mökander; Jonas Schuett; Hannah Rose Kirk; Luciano Floridi","2023","10.1007/s43681-023-00289-2","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000003__b2eab0fd.pdf","1","corpus_analitico_unico_tratado"
"CAND-000013__0067a2ed","Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival","Sylvie Delacroix","2025","10.1007/s11023-025-09736-x","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000013__0067a2ed.pdf","1","corpus_analitico_unico_tratado"
"CAND-000014__13ffd724","AI as a constituted system: accountability lessons from an LLM experiment","Kelsie Nabben","2024","10.1017/dap.2024.58","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000014__13ffd724.pdf","1","corpus_analitico_unico_tratado"
"CAND-000015__8e2ac83c","Designing meaningful human oversight in AI","Liming Zhu; Qinghua Lu; Ming Ding; Sung Une Lee; Chen Wang","2026","10.1007/s43681-026-01147-7","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000015__8e2ac83c.pdf","1","corpus_analitico_unico_tratado"
"CAND-000016__724f80fd","A dynamic contextual responsibility framework for evaluating large language models in socio-technical contexts","Ayodeji Olusegun Ibitoye; Deepika Roselind Johnson; Babafemi Gabriel Sorinolu; Rita Orji; Abikoye Oluwakemi Christiana","2026","10.1007/s43681-026-01072-9","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000016__724f80fd.pdf","1","corpus_analitico_unico_tratado"
"CAND-000021__dd66cb05","Large Language Model–Based Chatbots and Agentic AI for Mental Health Counseling: Systematic Review of Methodologies, Evaluation Frameworks, and Ethical Safeguards","Ha Na Cho, MS; Jiayuan Wang, BS; Di Hu, MS; Kai Zheng, PhD","unclear","10.2196/80348","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000021__dd66cb05.pdf","1","corpus_analitico_unico_tratado"
"CAND-000022__87095cb8","Barriers and Facilitators to the Use of Large Language Model-Based Conversational Agents in Mental Healthcare: A Systematic Review","Ravi Shankar; Amaevia Lim; Qian Xu","2026","10.3390/healthcare14101267","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000022__87095cb8.pdf","1","corpus_analitico_unico_tratado"
"CAND-000023__664064c6","From Documents to Decisions: Enterprise-Grade LLM Systems for Zero-Hallucination, Attributed Generation, and Regulatory Alignment","Yenjou Wang; Chihtan Cheng; Jia-Wei Chang","2026","10.32604/cmes.2026.080888","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000023__664064c6.pdf","1","corpus_analitico_unico_tratado"
"CAND-000024__9a09b906","Trust and Ethics in Chatbots: A Framework for Responsible AI Interactions","P. Sowmya; Vasudeva","2026","10.1109/ACCESS.2026.3653763","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000024__9a09b906.pdf","1","corpus_analitico_unico_tratado"
"CAND-000025__c8bbc63b","Large language models for clinical artificial intelligence in healthcare: a systematic review","Rawan Ghnemat; Amro Saleh","2026","10.1007/s44163-025-00784-x","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000025__c8bbc63b.pdf","1","corpus_analitico_unico_tratado"
"CAND-000026__058be75c","Moral Perception and Uncertainty Expression in LLM-Augmented Judicial Practice","Sylvie Delacroix","2025","10.1007/s11023-025-09744-x","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000026__058be75c.pdf","1","corpus_analitico_unico_tratado"
"CAND-000027__b0ec7058","Ethical Considerations in Personal Health Large Language Models","Jialin Liu; Siru Liu","2026","10.2196/92240","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000027__b0ec7058.pdf","1","corpus_analitico_unico_tratado"
"CAND-000028__cc541f1f","Personal Health Large Language Models and the Negotiation of Medical Authority in Clinical Care: Opportunities, Risks, and Governance","Wenyi Xie; Jialin Liu; Siru Liu","2026","10.2196/91727","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000028__cc541f1f.pdf","1","corpus_analitico_unico_tratado"
"CAND-000029__e9698737","Review Applications and Concerns of ChatGPT and Other Conversational Large Language Models in Health Care: Systematic Review","Leyao Wang; Zhiyu Wan; Congning Ni; Qingyuan Song; Yang Li; Ellen Clayton; Bradley Malin; Zhijun Yin","2024","10.2196/22769","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000029__e9698737.pdf","1","corpus_analitico_unico_tratado"
"CAND-000030__03b93195","A systematic review of ethical considerations of large language models in healthcare and medicine","Muhammad Fareed, Madeeha Fatima, Jamal Uddin, Adeel Ahmed, Muhammad Awais Sattar","2025","10.3389/fdgth.2025.1653631","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000030__03b93195.pdf","1","corpus_analitico_unico_tratado"
"CAND-000031__1ce54e80","Standardizing and Scaffolding Health Care AI-Chatbot Evaluation: Systematic Review","Yining Hua; Winna Xia; David Bates; George Luke Hartstein; Hyungjin Tom Kim; Michael Li; Benjamin W Nelson; Charles Stromeyer IV; Darlene King; Jina Suh; Li Zhou; John Torous","2025","10.2196/69006","incluir_historico","evidencia_central","corpus_historico_177","","CAND-000031__1ce54e80.pdf","1","corpus_analitico_unico_tratado"
"CAND-000032__3edeb416","Large Language Models for Chatbot Health Advice Studies: A Systematic Review","Bright Huo, MD; Amy Boyle, BSc; Nana Marfo, MD; Wimonchat Tangamornsuksan, PharmD, PhD; Jeremy P. Steen, MSc; Tyler McKechnie, MD; Yung Lee, MD; Julio Mayol, MD; Stavros A. Antoniou, MD; Arun James Thirunavukarasu, MB BChir; Stephanie Sanger, BSc; Karim Ramji, MD; Gordon Guyatt, MD","2025","10.1001/jamanetworkopen.2024.57879","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000032__3edeb416.pdf","1","corpus_analitico_unico_tratado"
"CAND-000033__f793b235","From COBIT to ISO 42001: Evaluating Cybersecurity Frameworks for Opportunities, Risks, and Regulatory Compliance in Commercializing Large Language Models","Timothy R. McIntosh, Teo Susnjak, Tong Liu, Paul Watters, Raza Nowrozy, Malka N. Halgamuge","unclear","unclear","incluir_historico","evidencia_apoio","corpus_historico_177","","CAND-000033__f793b235.pdf","1","corpus_analitico_unico_tratado"
