"identificador","titulo","decisao_checkpoint","classificacao_final","integra_universo_407","origem_classificacao","duplicata_de","justificativa","evidencia_adjudicacao","pagina_evidencia","arquivo_pdf","hash_pdf"
"CAND-000002__b5169a83","Accountable Artificial Intelligence: Holding Algorithms to Account","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article provides a public administration perspective on algorithmic accountability, oversight, transparency, interpretability, and mixed human-algorithm decision-making in high-stakes public sector contexts. It does not address conversational AI, chatbots, agents, RAG, or LLM-based systems as its focus; NLP and deep learning appear only as illustrative examples of broader algorithmic risks.","","","CAND-000002__b5169a83.pdf","fecda9317987a9e89e5db4e3bcebbf4fd0e191d9bcb6b69b9e800662a8632a06"
"CAND-000003__b2eab0fd","Auditing large language models: a three-layered approach","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","The article directly targets governance of LLMs through a structured three-layer auditing blueprint (governance, model, application), aligning with the review focus on audit, risk, compliance, and AI governance; conversational specificity is indirect but application-level audits cover LLM-based applications.","","","CAND-000003__b2eab0fd.pdf","a03b71802c1e742a223f39d8fabcd363e75b53f217e7abe72282a46c45b3f2f1"
"CAND-000004__817963df","AI4People—An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article is a 2018 pre-LLM ethical governance framework for general AI society. It strongly addresses governance, accountability, responsibility, data governance, stakeholder dialogue, and regulated contexts such as healthcare and insurance, but provides no evidence on conversational AI, chatbots, agents, RAG, guardrails, observability, or LLM-specific operational governance. It is best treated as foundational contextual evidence rather than central evidence for conversational governance in LLM systems.","","","CAND-000004__817963df.pdf","6f01607fd48889d1c05de1f1e99cfd125c64e41d8a270fa94e109cddf87c2e84"
"CAND-000005__68cc20c4","Artificial Intelligence Regulation: a framework for governance","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article provides a conceptual integrative framework for AI regulation and governance based on a systematic review of AIR literature, which aligns with governance and regulated-context themes. However, the provided text addresses AI and machine learning generally and does not mention LLMs, conversational systems, chatbots, agents, RAG, or operational conversational governance mechanisms specific to the review scope.","","","CAND-000005__68cc20c4.pdf","0c205b3df5c9cbf515fe06228535012b61f5b5c4204737db618a5dc3886e4d28"
"CAND-000006__ed4e1f54","Responsible AI in practice 2025 global insights from the AI Company Data Initiative","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The publication provides empirical global insights on corporate responsible AI governance, regulatory frameworks, risk management, human oversight, and generative AI regulation through the AICDI initiative. It explicitly uses a large language model to analyze corporate disclosures. However, the provided text contains no evidence on conversational AI systems, chatbots, agents, RAG, guardrails, observability, tracing, handoff, or contestation in deployed conversational LLM applications. It is therefore better suited as foundational/contextual evidence for AI governance in regulated environments than as central evidence on conversational governance.","","","CAND-000006__ed4e1f54.pdf","2fcb24219b7e37d6d8db5d8e398aa7e4f8460518006bda1b082a09faabbf8d8f"
"CAND-000010__d43aee06","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The paper is a foundational empirical study introducing and evaluating retrieval-augmented generation for knowledge-intensive NLP. It offers relevant architectural context for knowledge governance, provenance, interpretability, and factual grounding in generative systems, but does not address conversational governance, compliance, audit, human oversight, or regulated deployment contexts as primary objects of study.","","","CAND-000010__d43aee06.pdf","23e3249e9a1e75418d82efecab0ea8c4d033b89c93742f63208d47ce01f21233"
"CAND-000011__728ee8e6","A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","O texto fornecido é um survey sobre alucinação, factualidade e fidelidade em LLMs, com ênfase em taxonomia, detecção, mitigação e limitações de RAG. Isso oferece contexto fundacional para confiabilidade e controle de risco em sistemas com LLM, mas não aborda governança conversacional, supervisão humana, auditoria, compliance ou ambientes regulados de forma explícita no material disponível.","","","CAND-000011__728ee8e6.pdf","c0505f6ebb341232c5d1824ba50f520121a4095c38ab2c2877286d5007479502"
"CAND-000012__0e4a06d0","So what if ChatGPT wrote it? Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy","foundational_contextual","fundacional_contextual","sim","adjudicacao_pipeline","","The article is a peer-reviewed editorial opinion paper focused on generative conversational AI including ChatGPT and LLMs, with explicit coverage of ethics, transparency, bias, legal issues, and human-generative AI combinations. It is relevant to governance themes but provides subjective expert viewpoints rather than empirical or operational governance evidence for regulated deployments, so it is best treated as foundational contextual material.","","","CAND-000012__0e4a06d0.pdf","0ba54d2e4dfc0835fa54456c3ab981d3778307c41f77869594a31b9690df9f07"
"CAND-000013__0067a2ed","Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival","supporting_evidence","evidencia_apoio","sim","adjudicacao_pipeline","","The article explicitly addresses LLMs as conversational infrastructure and proposes a governance-oriented design framework emphasizing uncertainty, contestability, ensemble interfaces, and participatory infrastructure beyond procedural AI governance. It aligns with conversational governance themes but is primarily theoretical and oriented to democratic practice rather than operational governance in specific regulated sectors such as healthcare or finance.","","","CAND-000013__0067a2ed.pdf","f078625f0c36ba4e2804c617dd998d5e5d37d372ad9578c45f8d17a4940be561"
"CAND-000014__13ffd724","AI as a constituted system: accountability lessons from an LLM experiment","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","The study empirically examines governance and accountability for a deployed LLM integrated with a knowledge management system through a chat interface, using ethnographic methods in an organizational setting. It directly addresses how LLMs can be governed, held accountable, and managed around privacy and misbehaviour risks through policies, responsibility lines, and feedback loops.","","","CAND-000014__13ffd724.pdf","99a5713a23f7d33d73e25e1ca5e478b22b8ce1eae8831693221d9f9233205db4"
"CAND-000015__8e2ac83c","Designing meaningful human oversight in AI","central_evidence","evidencia_central","sim","adjudicacao_pipeline","","The article directly proposes a human oversight design framework for AI and agentic systems, specifies accountability attachment points, catalogs oversight mechanisms (structured rationales, confidence signals, circuit breakers, appeal bundles), and documents LLM-based known uses with human review, override, monitoring, and audit trails in compliance-relevant contexts.","","","CAND-000015__8e2ac83c.pdf","7dadee8e7df1658453758ba39bc165a0d6f8220d814d7010178668589bfdd023"
