id_estudo,titulo,autores,ano,doi,decisao_final,classificacao,proveniencia_tecnica,duplicata_de,arquivo_pdf,pagina_evidencia,corpus,incluido_no_corpus,justificativa_decisao,data_validacao_autor,status_validacao,desenho_estudo,veiculo,setor,mecanismos,camadas,alinhamento_questoes_pesquisa,hash_pdf,trecho_evidencia,limitacoes,nota_metadados
CAND-000003__b2eab0fd,Auditing large language models: a three-layered approach,Jakob Mökander; Jonas Schuett; Hannah Rose Kirk; Luciano Floridi,2023,10.1007/s43681-023-00289-2,incluir_central,evidencia_central,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000003__b2eab0fd.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,AI and Ethics,technology providers and policymakers,"Multi-level auditing as LLM governance | Governance, model, and application audit coordination",application audits | governance audits | model audits,AI governance mechanisms | auditing and accountability | post-release evaluation of LLM applications | risk management for LLMs,a03b71802c1e742a223f39d8fabcd363e75b53f217e7abe72282a46c45b3f2f1,Auditing large language models: a three‑layered approach,,
CAND-000013__0067a2ed,Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival,Sylvie Delacroix,2025,10.1007/s11023-025-09736-x,incluir_apoio,evidencia_apoio,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000013__0067a2ed.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,Minds and Machines,democratic governance; public/institutional technology design,Democratic conversational governance of LLM interfaces through uncertainty-aware design | Transitional conversational spaces and ensemble interfaces,community_participation | institutional_governance | interface_design | uncertainty_communication,governança de IA generativa | governança institucional | participação substantiva | sistemas conversacionais | supervisão humana e contestação,f078625f0c36ba4e2804c617dd998d5e5d37d372ad9578c45f8d17a4940be561,Implementation would require institutional transformations that align technological development with democratic values beyond current procedural approaches to AI governance.,,
CAND-000014__13ffd724,AI as a constituted system: accountability lessons from an LLM experiment,Kelsie Nabben,2024,10.1017/dap.2024.58,incluir_central,evidencia_central,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000014__13ffd724.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,Data & Policy,engineering services; private organization,"Organizational governance and accountability of deployed LLMs | Institutional constitution of accountable LLM systems via policy, responsibility, and feedback",institutional | organizational | policy | social | technical,accountability | conversational systems | governance of generative AI | human oversight and stakeholder negotiation | operational governance of deployed LLMs | privacy and risk navigation,99a5713a23f7d33d73e25e1ca5e478b22b8ce1eae8831693221d9f9233205db4,investigating the integration of a pre-trained large language model (LLM) with an organisation’s knowledge management system via a chat interface,,
CAND-000015__8e2ac83c,Designing meaningful human oversight in AI,Liming Zhu; Qinghua Lu; Ming Ding; Sung Une Lee; Chen Wang,2026,10.1007/s43681-026-01147-7,incluir_central,evidencia_central,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000015__8e2ac83c.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,AI and Ethics,"multiple (academic peer review, grant evaluation, regulatory compliance documentation)",Designing meaningful human oversight in AI-enabled decision systems | Layered agency and external-reasoning oversight mechanisms for LLM and agentic systems,evaluation criteria for joint agency | oversight signals and governance artifacts | system architecture and interaction contracts | task execution (AI operative agency) | verification and steering (human evaluative agency),auditability and traceability | compliance and high-stakes deployment | contestation and appeal mechanisms | governance and accountability in LLM systems | human oversight and intervention | operational governance patterns,7dadee8e7df1658453758ba39bc165a0d6f8220d814d7010178668589bfdd023,AI and Ethics (2026) 6:286 https://doi.org/10.1007/s43681-026-01147-7,,
CAND-000016__724f80fd,A dynamic contextual responsibility framework for evaluating large language models in socio-technical contexts,Ayodeji Olusegun Ibitoye; Deepika Roselind Johnson; Babafemi Gabriel Sorinolu; Rita Orji; Abikoye Oluwakemi Christiana,2026,10.1007/s43681-026-01072-9,incluir_apoio,evidencia_apoio,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000016__724f80fd.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,AI and Ethics,"healthcare, law, education, policy/regulatory","Dynamic contextual accountability for LLMs beyond static Responsible AI metrics | Governance-aligned, temporally sensitive evaluation of LLM responsibility",behavioural properties | contextual grounding | ethical foundations | governance mechanisms | temporal dynamics,"alignment with regulatory frameworks | governance and accountability of generative AI | post-deployment monitoring and temporal change | risk, audit, and compliance in regulated LLM use",e91808d8dd3f8bc3ee2784a1eff899b3a3e03ac01e972bfdf71b21adb10138b5,"The rapid adoption of large language models (LLMs) across sensitive domains such as healthcare, law, and education",,
CAND-000021__dd66cb05,"Large Language Model–Based Chatbots and Agentic AI for Mental Health Counseling: Systematic Review of Methodologies, Evaluation Frameworks, and Ethical Safeguards","Ha Na Cho, MS; Jiayuan Wang, BS; Di Hu, MS; Kai Zheng, PhD",2026,10.2196/80348,incluir_apoio,evidencia_apoio,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000021__dd66cb05.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,unclear,digital mental health; healthcare,"Governance and ethical safeguards in LLM-based mental health counseling chatbots | Methodological quality, evaluation rigor, and inconsistent safety or governance reporting",deployment_layer | ethics_governance_layer | evaluation_layer | monitoring_validation_layer,conversational_ai | governance_accountability | human_oversight_contestation | llm_genai | regulated_high_stakes | risk_audit_compliance,8473c1a94da210b3a5ba7e3a0197c407e6af809676975c84be8b890de06f814b,"This systematic review aimed to synthesize the methodologies, evaluation practices, and ethical or governance frameworks of LLM-based chatbots developed for MH counseling",,Ano confirmado no texto integral e no registro editorial.
CAND-000022__87095cb8,Barriers and Facilitators to the Use of Large Language Model-Based Conversational Agents in Mental Healthcare: A Systematic Review,Ravi Shankar; Amaevia Lim; Qian Xu,2026,10.3390/healthcare14101267,incluir_apoio,evidencia_apoio,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000022__87095cb8.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,Healthcare,mental healthcare,"Barriers and facilitators to responsible implementation of LLM-based conversational agents in mental healthcare | Governance, safety oversight, and regulatory models for clinical scaling",deployment_process | monitoring_and_evaluation | oversight | regulatory_compliance | safety_evaluation,compliance e mecanismos regulatórios | controle de risco e segurança | governança de IA generativa | monitoramento pós-implantação | sistemas conversacionais em contextos regulados | supervisão humana,cd5be1b74b93206709eb0037709bdd4c32b641f32672ae4c2fb921daf97d7eb4,Systematic Review Barriers and Facilitators to the Use of Large Language Model-Based Conversational Agents in Mental Healthcare: A Systematic Review,,
CAND-000023__664064c6,"From Documents to Decisions: Enterprise-Grade LLM Systems for Zero-Hallucination, Attributed Generation, and Regulatory Alignment",Yenjou Wang; Chihtan Cheng; Jia-Wei Chang,2026,10.32604/cmes.2026.080888,incluir_apoio,evidencia_apoio,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000023__664064c6.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,Computer Modeling in Engineering & Sciences,enterprise AI across regulated domains including finance and healthcare,Enterprise-grade LLM governance for regulated decision support | Risk-controlled data flywheel architecture,governance | perception | reasoning | verification,governance of generative AI | operational technical governance | regulated high-stakes deployment | risk audit and compliance,c66fba11ca3ac295e7f1c6b61d89a2819cea5594c40a06cd4542cff7c0804eec,"REVIEW From Documents to Decisions: Enterprise-Grade LLM Systems for Zero-Hallucination, Attributed Generation, and Regulatory Alignment",,
CAND-000024__9a09b906,Trust and Ethics in Chatbots: A Framework for Responsible AI Interactions,P. Sowmya; Vasudeva,2026,10.1109/ACCESS.2026.3653763,incluir_central,evidencia_central,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000024__9a09b906.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,IEEE Access,education; healthcare; customer service,"Responsible governance framework for ethical chatbot interactions | Dataset-intent robustness, trust, fairness, and auditing in regulated chatbot use",domain application layer | evaluation layer | monitoring and audit layer | principle layer,audit logging and monitoring | fairness bias and explainability | governance of conversational AI | human oversight and accountability | regulated high-stakes contexts,7b9973774a11788ce4c331bc92a2b74491de3f09d9ef6d53dfdcd5cf54169bc9,The associate editor coordinating the review of this manuscript and approving it for publication was Shadi Alawneh,,
CAND-000025__c8bbc63b,Large language models for clinical artificial intelligence in healthcare: a systematic review,Rawan Ghnemat; Amro Saleh,2026,10.1007/s44163-025-00784-x,incluir_apoio,evidencia_apoio,corpus_historico_177,,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000025__c8bbc63b.pdf,1,corpus_analitico_unico_tratado,sim,Classificação científica confirmada no inventário verificado do corpus.,2026-08-23,validado_pelo_autor,,Discover Artificial Intelligence,healthcare,"Systematic synthesis of LLMs and MLLMs for clinical artificial intelligence in healthcare | Governance, deployment, and risk considerations for generative AI in medicine",deployment in medical workflows | policy and compliance | technical foundations,"LLMs in regulated healthcare | RAG and agentic workflows | governance and compliance | risk mitigation (hallucinations, bias, privacy)",2ae228ce7fffd26442b81dcfc212ecd479943b03b84f18a820ffa6b7b5594d17,Large language models for clinical artificial intelligence in healthcare a systematic review,,
