"identificador";"decisao_origem";"classificacao_final";"criterios_atendidos";"criterios_nao_atendidos";"justificativa";"citacao_evidencia";"pagina";"status_verificacao";"observacao_metadados"
"CAND-000066__7d79d469";"borderline";"fundacional_contextual";"I1|I4|I5|I6";"I2_parcial|I3_parcial";"Estudo empírico de um assistente conversacional baseado em LLM, com guardrails e supervisão docente, mas sem foco substantivo em accountability, auditoria, compliance ou implantação regulada. É útil para contextualizar controles pedagógicos, não para sustentar as contagens analíticas.";"we introduce CodeHelp, a novel LLM-powered tool designed with guardrails to provide on-demand assistance to programming students without directly revealing solutions";"1";"verificada_manual_v2";"O metadado do corpus atribuía incorretamente o título e o DOI de Pyo ao PDF de CodeHelp. Para a adjudicação prevaleceram o título e a autoria verificados no próprio PDF."
"CAND-000137__a94137df";"borderline";"evidencia_apoio";"I1|I2|I3|I4|I5|I6";"nenhum";"Benchmark multicêntrico de sistemas baseados em LLM para decisão clínica, em contexto de dispositivo médico regulado, com avaliação cega por especialistas. Sustenta supervisão humana, conformidade e validação clínica como mecanismos de apoio.";"Medically specialized AI systems that have obtained regulatory clearance as medical devices";"1";"verificada_manual_v2";""
"CAND-000186__06229924";"borderline";"fundacional_contextual";"I1|I4|I5|I6";"I2|I3";"Comparação empírica entre raciocínio humano e LLM em pesquisa qualitativa. Informa alinhamento interpretativo e supervisão humana, mas não estuda governança conversacional nem implantação em ambiente regulado ou de alto impacto.";"We compared the results of LLMs with human classifications and reasonings.";"1";"verificada_manual_v2";""
"CAND-000236__fc012562";"borderline";"evidencia_apoio";"I1|I2|I3_transferibilidade|I4|I5|I6";"nenhum";"Arquitetura LLM multiagente com camada semântica governada, consistência de métricas e segurança na fronteira do modelo. Embora não setorial, apresenta mecanismos técnicos diretamente transferíveis para observabilidade e auditoria em ambientes regulados.";"automated root cause analysis frameworks lack a governed, semantically coherent data foundation";"2";"verificada_manual_v2";""
"CAND-000256__46108cdf";"borderline";"evidencia_apoio";"I1|I2|I3_transferibilidade|I4|I5|I6";"nenhum";"Modelo de referência para automação DevOps com LLMs que integra observabilidade, RAG, guardrails de política e ação automatizada. Oferece evidência de apoio para controles operacionais transferíveis a implantações reguladas.";"this work synthesizes a comprehensive reference model for LLM-driven DevOps optimization that spans observability ingestion, prompt orchestration layers, retrieval-augmented reasoning, policy guardrails, and automated action pipelines";"1";"verificada_manual_v2";""
"CAND-000347__b299e4f4";"borderline";"evidencia_apoio";"I1|I2|I3|I4|I5|I6";"nenhum";"Revisão de sistemas de IA agêntica aplicados a infraestrutura elétrica crítica, com análise de modos de falha e recomendações para implantação segura, confiável e accountable. Sustenta mecanismos de apoio em ambiente de alto impacto.";"actionable recommendations for the design and implementation of safe, reliable, and accountable agentic AI systems";"1";"verificada_manual_v2";""
"CAND-000349__5a731f12";"borderline";"fundacional_contextual";"I1|I3|I4|I5|I6";"I2_parcial";"Estudo sobre integração responsável de IA generativa em currículo médico, com formação docente e questões éticas e de política. Contextualiza governança institucional, mas não apresenta mecanismos de governança de um sistema conversacional implantado.";"The rapid integration of generative artificial intelligence (AI) into medical education presents both opportunities and continuing challenges";"1";"verificada_manual_v2";""
"CAND-000425__42253e17";"borderline";"fundacional_contextual";"I3|I4|I5|I6";"I1_parcial|I2_parcial";"Revisão narrativa de RegTech financeiro centrada em IA, aprendizado de máquina, NLP e análise preditiva. É pertinente ao contexto regulatório, mas LLMs e sistemas conversacionais não constituem o objeto substantivo do estudo.";"focusing on how machine learning, natural language processing, and predictive analytics are automating critical compliance functions";"1";"verificada_manual_v2";""
"CAND-000506__83dcb25f";"borderline";"fundacional_contextual";"I1_parcial|I3|I4|I5|I6";"I2_parcial";"Framework de governança da qualidade em hospital público que utiliza um LLM como instrumento analítico para classificar avaliações de pacientes. O objeto governado é a qualidade hospitalar, não o sistema conversacional; por isso integra a fundamentação contextual.";"a prompt-based large language model (Gemini 1.5 Flash) was employed to extract structured aspect-sentiment pairs";"7";"verificada_manual_v2";""
"CAND-000558__72287083";"borderline";"evidencia_apoio";"I1|I2|I3|I4|I5|I6";"nenhum";"Avaliação empírica de respostas de quatro LLMs em saúde, com revisão cega por três especialistas e resolução de discordância por um quarto avaliador. Sustenta avaliação, supervisão humana e cautela clínica como mecanismos de apoio.";"Responses were evaluated by three expert reviewers blinded to the LLM used";"1";"verificada_manual_v2";""
"CAND-000658__4c5b0269";"borderline";"evidencia_apoio";"I1|I2|I3_transferibilidade|I4|I5|I6";"nenhum";"Dissertação aplicada sobre LLMOps em ambiente empresarial, com pipeline padronizado de avaliação, rastreabilidade e integração a CI/CD. Oferece mecanismos operacionais transferíveis para governança de sistemas regulados, embora não seja evidência central.";"The solution demonstrated how standardized, reusable evaluation workflows can be integrated into CI/CD environments to ensure traceability, scalability, and reproducibility.";"2";"verificada_manual_v2";""
"CAND-000669__446b7113";"borderline";"evidencia_apoio";"I1|I2|I3|I4|I5|I6";"nenhum";"Estudo quantitativo sobre LLMs para governança, compliance e aplicação de políticas, com profissionais de finanças, saúde, seguros e outros setores. Sustenta mecanismos organizacionais e regulatórios como evidência de apoio.";"enterprise-scale risk decision intelligence systems using Large Language Models (LLMs) for automated governance, compliance, and policy enforcement";"1";"verificada_manual_v2";""
"CAND-000728__0c97b4da";"borderline";"exclusao";"I1|I2_tecnico|I4|I5|I6";"I3";"Estudo de ataque e red teaming sobre evasão de guardrails de moderação, sem aplicação ou transferibilidade demonstrada para ambiente regulado e com oito evidências automáticas não localizadas. Não atende a fronteira contextual exigida para o corpus.";"indicating the vulnerability of intent-aware guardrails in LLMs";"1";"verificada_manual_v2";""
"CAND-000753__02175825";"borderline";"evidencia_apoio";"I1|I2|I3|I4|I5|I6";"nenhum";"Comparação de ChatGPT e busca web para consultas sobre demência, com avaliação por especialistas de confiabilidade, atualidade, objetividade e relevância. Sustenta transparência de fontes e supervisão humana em saúde.";"Three domain experts assessed the results for their currency of information, reliability of the source, objectivity, relevance to the query, and similarity of their response.";"1";"verificada_manual_v2";""
"CAND-001020__5357a302";"borderline";"exclusao";"I1_conversacional|I4|I5|I6";"I1_LLM|I2|I3_parcial";"Revisão de bots conversacionais de 2019 a 2022 voltada a produtividade e gestão de incidentes. Não apresenta especificidade de LLM nem mecanismos de governança, auditoria, accountability ou supervisão exigidos pelo escopo.";"The present work is a systematic literature review that collects articles from 2019 to 2022";"1";"verificada_manual_v2";""
"CAND-001164__97231382";"borderline";"evidencia_apoio";"I1|I2|I3|I4|I5|I6";"nenhum";"Estudo comparativo de quatro interfaces conversacionais baseadas em LLM em odontologia, com avaliação por especialistas, comparação estatística e recomendação de não substituição do julgamento profissional. Sustenta supervisão e validação em contexto clínico.";"This study aims to comparatively evaluate the answers provided by 4 LLMs, namely Bard (Google LLC), ChatGPT-3.5 and ChatGPT-4 (OpenAI), and Bing Chat (Microsoft Corp), to clinically relevant questions from the field of dentistry.";"1";"verificada_manual_v2";""
"CAND-001166__59c2f82c";"borderline";"exclusao";"I1_conversacional|I3|I4|I5|I6";"I1_LLM|I2";"Revisão de chatbots de saúde baseados em IA, ML, NLU e NLP, sem especificidade de LLM e sem foco em mecanismos de governança conversacional. O objetivo é eficácia e viabilidade de mudança comportamental, fora do objeto analítico.";"chatbots developed upon existing AI platforms (eg, IBM Watson Assistant [IBM Corp]) or AI algorithms, such as ML, deep learning, natural language understanding, and NLP";"3";"verificada_manual_v2";""
