identificador,titulo,classificacao_publicada,status_checkpoint_historico,estudo_id_pipeline,decisao_llm,decisao_consenso,evidencias_validas_pipeline,evidencias_invalidas_pipeline,metodo_verificacao_v2_final,evidencia_verificada,pagina_verificada,secao_verificada,finalidade_evidencia,status_verificacao_v2_final,observacao,alerta_historico_flag,ancora_normalizada_alerta_flag,evidencia_alternativa_alerta_flag,pendencia_flag
CAND-000003__b2eab0fd,Auditing large language models: a three-layered approach,evidencia_central,checkpoint_com_alerta: llm_evidence_not_found,S_310fbf17b16d,central_evidence,central_evidence,7,1,correspondencia_literal_normalizada_no_texto_integral,Auditing large language models: a three‑layered approach,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000013__0067a2ed,Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival,evidencia_apoio,checkpoint_com_alerta: llm_evidence_not_found,S_0209dd087d6b,supporting_evidence,supporting_evidence,7,4,evidencia_alternativa_literal_normalizada_no_texto_integral,Implementation would require institutional transformations that align technological development with democratic values beyond current procedural approaches to AI governance.,1,abstract,eligibility,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,0,1,0
CAND-000014__13ffd724,AI as a constituted system: accountability lessons from an LLM experiment,evidencia_central,checkpoint_sem_alerta,S_38917c6735e2,central_evidence,central_evidence,12,0,correspondencia_literal_normalizada_no_texto_integral,investigating the integration of a pre-trained large language model (LLM) with an organisation’s knowledge management system via a chat interface,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000015__8e2ac83c,Designing meaningful human oversight in AI,evidencia_central,checkpoint_com_alerta: llm_evidence_not_found,S_97437b237551,central_evidence,central_evidence,8,6,correspondencia_literal_normalizada_no_texto_integral,AI and Ethics (2026) 6:286 https://doi.org/10.1007/s43681-026-01147-7,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",1,1,0,0
CAND-000016__724f80fd,A dynamic contextual responsibility framework for evaluating large language models in socio-technical contexts,evidencia_apoio,checkpoint_sem_alerta,S_6fd1f08db540,supporting_evidence,supporting_evidence,11,0,correspondencia_literal_normalizada_no_texto_integral,"The rapid adoption of large language models (LLMs) across sensitive domains such as healthcare, law, and education",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000021__dd66cb05,"Large Language Model–Based Chatbots and Agentic AI for Mental Health Counseling: Systematic Review of Methodologies, Evaluation Frameworks, and Ethical Safeguards",evidencia_apoio,checkpoint_sem_alerta,S_4e2a23db5f82,supporting_evidence,supporting_evidence,10,0,correspondencia_literal_normalizada_no_texto_integral,"This systematic review aimed to synthesize the methodologies, evaluation practices, and ethical or governance frameworks of LLM-based chatbots developed for MH counseling",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000022__87095cb8,Barriers and Facilitators to the Use of Large Language Model-Based Conversational Agents in Mental Healthcare: A Systematic Review,evidencia_apoio,checkpoint_sem_alerta,S_a1f22325f4b1,supporting_evidence,supporting_evidence,10,0,correspondencia_literal_normalizada_no_texto_integral,Systematic Review Barriers and Facilitators to the Use of Large Language Model-Based Conversational Agents in Mental Healthcare: A Systematic Review,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000023__664064c6,"From Documents to Decisions: Enterprise-Grade LLM Systems for Zero-Hallucination, Attributed Generation, and Regulatory Alignment",evidencia_apoio,checkpoint_sem_alerta,S_46aa1cbd9de5,supporting_evidence,supporting_evidence,14,0,correspondencia_literal_normalizada_no_texto_integral,"REVIEW From Documents to Decisions: Enterprise-Grade LLM Systems for Zero-Hallucination, Attributed Generation, and Regulatory Alignment",1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000024__9a09b906,Trust and Ethics in Chatbots: A Framework for Responsible AI Interactions,evidencia_central,checkpoint_sem_alerta,S_14a7baeb2ab8,central_evidence,central_evidence,13,0,correspondencia_literal_normalizada_no_texto_integral,The associate editor coordinating the review of this manuscript and approving it for publication was Shadi Alawneh,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
CAND-000025__c8bbc63b,Large language models for clinical artificial intelligence in healthcare: a systematic review,evidencia_apoio,checkpoint_sem_alerta,S_a19ab17c2c3d,supporting_evidence,supporting_evidence,10,0,correspondencia_literal_normalizada_no_texto_integral,Large language models for clinical artificial intelligence in healthcare a systematic review,1,registrada_no_inventario,ancora_publicada,verificada_v2_final,"Trecho localizado após normalização Unicode, de espaços e pontuação; a decisão científica não foi inferida apenas pela confiança do LLM.",0,0,0,0
