id_v21,classe_triagem_original,titulo,autores,ano,doi,arquivo_pdf,sha256_pdf,paginas_pdf,desenho_assistido,setor_assistido,mecanismos_assistidos,camadas_assistidas,pagina_evidencia_assistida,trecho_evidencia_assistida,decisao_assistida_integral,justificativa_assistida,qualidade_jbi_casp,cerqual,limitacoes_assistidas,decisao_final_autor,justificativa_final_autor,pagina_decisao_final,data_validacao_autor,decisao_proposta_assistida,justificativa_proposta_assistida,status,objeto_direto_semantico,contexto_regulado_semantico,contribuicao_substantiva_semantico,pontuacao_semantica,decisao_semantica_automatizada,justificativa_semantica_automatizada
NEW-0001,,A Prompt Engineering Framework for Large Language Model-Based Mental Health Chatbots: Conceptual Framework.,"Boit S, Patil R.",2025,10.2196/75078,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0001.pdf,a160591bddc7dd72c9fd522cb1516d06e0e197c7a37f98886358da25ec8ffd1a,23,revisão/survey,saúde; finanças; jurídico/regulatório; educação; organizacional transversal,observabilidade/monitoramento; supervisão/escalonamento; accountability/roles; compliance/auditoria; feedback/ciclo de vida,técnica; interacional; organizacional; regulatória; evolutiva,1,"to transform mental health care through scalable, on-demand support. While LLM-powered chatbots may help reduce barriers to care, their integration into clinical settings raises critical concerns regarding safety, reliability, and ethical oversight. A structured framework is needed to capture their benefits while addressing inherent risks. This paper introduces a conceptual model for prompt engineering, outlining core design principles for the responsible development of LLM-based mental health chatbots. Objective: This paper proposes the Mental Well-Being Through Dialogue – Safeguarded and Adaptive Framework for Ethics (MIND-SAFE), a comprehensive, layered fra",candidata a evidência de apoio — confirmar critérios,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_apoio,"Estudo elegível com contribuição contextual, periférica ou transferível para as questões da revisão.",1,2026-08-23,proposta_incluir_apoio,"Relevante, mas a contribuição substantiva/regulatória parece periférica; confirmar leitura integral.",validado_pelo_autor,True,True,True,3,apoio,Critérios: objeto=True; contexto=True; contribuição=True; página=1.
NEW-0007,,Ethics and Fairness in Conversational AI: A Framework for Addressing Bias in Large-Scale Language Models,; Herbert Wanga,2025,10.47191/etj/v11i01.09,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0007.pdf,26abe4c7a9d2220aa94f59f4781237c9279b7f9f2041ab6167265595ba70976e,3,revisão/survey,saúde; governo; jurídico/regulatório; educação; organizacional transversal,supervisão/escalonamento; accountability/roles; compliance/auditoria; feedback/ciclo de vida,interacional; organizacional; regulatória; evolutiva,1,"mitigation strategies. The article highlights th e interdisciplinary challenges of ensuring fairness, including linguistic, cultural, and speciesist biases, and propose a framework for equitable AI development that integrates technical, governance, and participatory approaches. Key recommendations include diversifying trai ning data, implementing algorithmic audits, fostering stakeholder collaboration, and adopting co -design methodologies. By integrating technical and ethical perspectives, this work aims to guide researchers, developers, and policymakers toward responsible AI deployment. KEYWORDS: conversational AI, large language models, ethics, fairnes",candidata a evidência de apoio — confirmar critérios,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_apoio,"Estudo elegível com contribuição contextual, periférica ou transferível para as questões da revisão.",1,2026-08-23,proposta_incluir_apoio,"Relevante, mas a contribuição substantiva/regulatória parece periférica; confirmar leitura integral.",validado_pelo_autor,True,True,True,3,apoio,Critérios: objeto=True; contexto=True; contribuição=True; página=1.
NEW-0008,,Explainability and Human Oversight for AI-Generated Exercise Guidance in Digital Healthcare: A Governance-Oriented Narrative Review.,"Pan K, Huang C, Lin X, Huang S.",2026,10.3390/healthcare14121716,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0008.pdf,ed390807354e9e45c04230646fccf6ce58e9bccf382bfe20af7af84c0954d3e0,15,revisão/survey,saúde; finanças; governo; jurídico/regulatório; educação,observabilidade/monitoramento; supervisão/escalonamento; accountability/roles; compliance/auditoria; feedback/ciclo de vida,técnica; interacional; organizacional; regulatória; evolutiva,1,"026 Copyright: © 2026 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license. Review Explainability and Human Oversight for AI-Generated Exercise Guidance in Digital Healthcare: A Governance-Oriented Narrative Review Kaijiang Pan 1 , Caihua Huang 2,* , Xinyu Lin 3 and Shengqi Huang 2 1 School of Marxism, Xiamen Ocean Vocational College, Xiamen 361100, China; kj-pan@foxmail.com 2 Research and Communication Center for Exercise and Health, Xiamen University of Technology, Xiamen 361024, China; shengqi.huang@foxmail.com 3 School of Fi",incerta/excluir ou contextualizar — confirmar texto completo,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_central,Objeto generativo/conversacional e mecanismo de governança aparecem no foco do estudo; o contexto regulado e a contribuição substantiva são sustentados no texto integral. objeto_direto_titulo=true; paginas_objeto=5; foco_governanca_titulo=true; contexto_regulado=true; paginas_governanca_contexto=15,1,2026-08-23,proposta_manter_incerto_para_adjudicacao,A extração não sustenta inclusão segura; requer decisão após leitura integral.,validado_pelo_autor,False,True,True,2,incerto,Critérios: objeto=False; contexto=True; contribuição=True; página=1.
NEW-0009,,From bard to Gemini: An investigative exploration journey through Google’s evolution in conversational AI and generative AI,Zarif Bin Akhtar,2024,10.59400/cai.v2i1.1378,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0009.pdf,249a6a75bf3550281170184613f0e649f10255061e0d237922bc784a23e93bc8,21,estudo empírico (confirmar desenho),saúde; finanças; governo; jurídico/regulatório; educação,observabilidade/monitoramento; supervisão/escalonamento; accountability/roles; compliance/auditoria; feedback/ciclo de vida,técnica; interacional; organizacional; regulatória; evolutiva,1,"experience testing examined usability, engagement, and integration with Google Workspace and third-party services. Ethical considerations regarding data privacy, security, and biases in AI-generated content were also addressed, ensuring compliance with major regulations and promoting ethical AI practices. Acknowledging limitations and challenges inherent in the investigative exploration, data analysis was conducted using thematic and statistical methods to derive insights. The results and findings of this research offer valuable insights into the capabilities and limitations of Gemini, providing implications for future AI development, user interaction des",candidata a evidência de apoio — confirmar critérios,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_apoio,"Estudo elegível com contribuição contextual, periférica ou transferível para as questões da revisão.",1,2026-08-23,proposta_incluir_apoio,"Relevante, mas a contribuição substantiva/regulatória parece periférica; confirmar leitura integral.",validado_pelo_autor,True,True,True,3,apoio,Critérios: objeto=True; contexto=True; contribuição=True; página=1.
NEW-0010,,"Generative AI/LLMs for Plain Language Medical Information for Patients, Caregivers and General Public: Opportunities, Risks and Ethics",Avishek Pal; Tenzin Wangmo; Trishna Bharadia; Mithi Ahmed-Richards; M Bhanderi; R Kachhadiya; Samuel Allemann; Bernice S. Elger,2025,10.2147/ppa.s527922,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0010.pdf,452536610186c4c7672a83ef7c9da52543d06d70b60ef83a7e96703fa278a4bb,23,estudo empírico (confirmar desenho),saúde; finanças; jurídico/regulatório; educação; organizacional transversal,observabilidade/monitoramento; supervisão/escalonamento; accountability/roles; compliance/auditoria; feedback/ciclo de vida,técnica; interacional; organizacional; regulatória; evolutiva,1,"REVIEW Generative AI/LLMs for Plain Language Medical Information for Patients, Caregivers and General Public: Opportunities, Risks and Ethics Avishek Pal 1, T enzin Wangmo 1, Trishna Bharadia 2,3, Mithi Ahmed-Richards 4,5, Mayank Bhailalbhai Bhanderi 6, Rohitbhai Kachhadiya 6, Samuel S Allemann 7, Bernice Simone Elger 1,8 1Institute for Biomedical Ethics, University of Basel, Basel, Switzerland; 2Patient Author, The Spark Global, Buckinghamshire, UK; 3Centre for Pharmaceutical Medicine Research, King’s College London, London, UK; 4C",candidata a evidência central — confirmar critérios,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_central,Atende aos três critérios cumulativos de evidência central conforme a matriz integral validada.,1,2026-08-23,proposta_incluir_central,"Atende provisoriamente aos critérios de objeto, governança e contexto; confirmar leitura integral.",validado_pelo_autor,True,True,True,3,central,Critérios: objeto=True; contexto=True; contribuição=True; página=1.
NEW-0011,,Generative Artificial Intelligence Through ChatGPT and Other Large Language Models in Ophthalmology,Ting Fang Tan; Arun James Thirunavukarasu; J. Peter Campbell; Pearse A. Keane; Louis R. Pasquale; Michael D. Abràmoff; Jayashree Kalpathy–Cramer; Flora Lum; Judy E. Kim; Sally L. Baxter; Daniel Shu Wei Ting,2023,10.1016/j.xops.2023.100394,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0011.pdf,ecea430fdce13d558e037502781e3ad88102c0caafee9d2968cd8f4c4df34c0a,9,estudo empírico (confirmar desenho),saúde; governo; jurídico/regulatório; organizacional transversal,supervisão/escalonamento; accountability/roles; compliance/auditoria; feedback/ciclo de vida,interacional; organizacional; regulatória; evolutiva,3,"This may have signi ﬁcant bene ﬁts, strengthening patient autonomy and even contributing to successful diagnosis. 41e43 However, the safety, presence or lack of bias, and ethical dimensions have not been established, and, thus, there is a risk of patient harm at a large scale, given the potential widespread adoption of such algorithms. Indeed, inaccuracies and “fact fabrication ”d often termed halluci- nation by computer scientists and journalists dwhere invented, inaccurate statements are presented as lucidly as accurate information draise a concern that users will be misled and suffer avoidable harm. Until these applications are properly engineered and",candidata a evidência de apoio — confirmar critérios,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_apoio,"Estudo elegível com contribuição contextual, periférica ou transferível para as questões da revisão.",1,2026-08-23,proposta_incluir_apoio,"Relevante, mas a contribuição substantiva/regulatória parece periférica; confirmar leitura integral.",validado_pelo_autor,True,True,True,3,apoio,Critérios: objeto=True; contexto=True; contribuição=True; página=3.
NEW-0012,,Generative Artificial Intelligence and Large Language Models in Clinical Oncology.,"Yu Y, Zhao Z, Wang Z, Lin R, Tan Y, Chen Y, Li T, Baptista-Hon D, Zhang X, Wu C, Tong M, Zheng L, Wu J, Monteiro O, Zhang K.",2026,10.1002/mco2.70833,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0012.pdf,e0199a19fce265db946638cdd2a3a01b3e87dc641877465b04fdcc4f60e4a60a,25,estudo empírico (confirmar desenho),saúde; jurídico/regulatório; educação,observabilidade/monitoramento; supervisão/escalonamento; accountability/roles; compliance/auditoria; feedback/ciclo de vida,técnica; interacional; organizacional; regulatória; evolutiva,1,"zation. Particular attention is given to multimodal data integration, synthetic data generation, clinical reasoning, and decision support, together with current challenges related to interpretability, reliability, data privacy, regulatory governance, and real-world implementation. By consolidating recent technological advances and clinical evidence, this review highlights future priorities toward safe, trustworthy, and clinically deployable intelligent oncology systems. Emerging agent-based architectures and human–AI collaborative workflows may further expand the clinical utility of generative AI in oncology. Yunfang Yu, Zhenhui Zhao, Zehua Wang, Ruichong L",candidata a evidência de apoio — confirmar critérios,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_apoio,"Estudo elegível com contribuição contextual, periférica ou transferível para as questões da revisão.",1,2026-08-23,proposta_incluir_apoio,"Relevante, mas a contribuição substantiva/regulatória parece periférica; confirmar leitura integral.",validado_pelo_autor,True,True,True,3,apoio,Critérios: objeto=True; contexto=True; contribuição=True; página=1.
NEW-0013,,Generative Large Language Model—Powered Conversational AI App for Personalized Risk Assessment: Case Study in COVID-19,Mohammad Amin Roshani; Xiangyu Zhou; Yao Qiang; Srinivasan Suresh; Steven Hicks; Usha Sethuraman; Dongxiao Zhu,2025,10.2196/67363,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0013.pdf,7a696175601835e6f279e710f74651b8c6c426adfd7054657419df3890144afc,17,estudo empírico (confirmar desenho),saúde; finanças; educação,observabilidade/monitoramento; supervisão/escalonamento; accountability/roles; compliance/auditoria; feedback/ciclo de vida,técnica; interacional; organizacional; regulatória; evolutiva,1,"Original Paper Generative Large Language Model—Powered Conversational AI App for Personalized Risk Assessment: Case Study in COVID-19 Mohammad Amin Roshani1, BSc; Xiangyu Zhou1, BE, MCS; Yao Qiang2, BS, MCS, PhD; Srinivasan Suresh3, MD; Steven Hicks4, MD; Usha Sethuraman5, MD; Dongxiao Zhu1, PhD 1Department of Computer Science, Wayne State University, Detroit, MI, United States 2Department of Computer Science, Oakland University, Rochester, MI, United States 3Department of Pediatrics, University of Pittsburg Medi",candidata a evidência de apoio — confirmar critérios,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_apoio,"Estudo elegível com contribuição contextual, periférica ou transferível para as questões da revisão.",1,2026-08-23,proposta_incluir_apoio,"Relevante, mas a contribuição substantiva/regulatória parece periférica; confirmar leitura integral.",validado_pelo_autor,True,True,True,3,apoio,Critérios: objeto=True; contexto=True; contribuição=True; página=1.
NEW-0017,,Large Language Models in Clinical Trial Recruitment: Sociotechnical and Economic Framework Development Study.,Qian Q.,2026,10.2196/95899,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0017.pdf,a4a4070e643f5b196abb10db9f9cc0be9189a8bec39a405d078d2cfb492a48d6,12,revisão/survey,saúde; jurídico/regulatório; educação; organizacional transversal,observabilidade/monitoramento; supervisão/escalonamento; accountability/roles; compliance/auditoria; feedback/ciclo de vida,técnica; interacional; organizacional; regulatória; evolutiva,1,"ntrolled technical conditions rather than within real recruitment workflows. Less is known about how LLM-enabled clinical artificial intelligence (AI) systems should be embedded into organizational settings where privacy constraints, human oversight, patient-facing concerns, and governance costs shape deployment outcomes. Objective: This study develops a theory-grounded conceptual framework for analyzing how LLM-enabled clinical AI can be integrated into clinical trial recruitment workflows and how such integration affects operational, governance, and economic outcomes. Methods: Using structured conceptual analysis and targeted evidence synthesis, the study dra",candidata a evidência de apoio — confirmar critérios,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_apoio,"Estudo elegível com contribuição contextual, periférica ou transferível para as questões da revisão.",1,2026-08-23,proposta_incluir_apoio,"Relevante, mas a contribuição substantiva/regulatória parece periférica; confirmar leitura integral.",validado_pelo_autor,True,True,True,3,apoio,Critérios: objeto=True; contexto=True; contribuição=True; página=1.
NEW-0019,,Leveraging Large Language Models for Automated Clinical Documentation and Decision Support within Generative AI Healthcare Frameworks,Venubabu kommalapati,2024,10.52783/pmj.v35.i1s.7170,arquivos_tratados_aigovernanca/ft_v21/pdfs/NEW-0019.pdf,fb20a2db6896a045d03dec2cf02ac98e2e09127426d58a8542ed67c0fb4d8953,16,estudo empírico (confirmar desenho),saúde; jurídico/regulatório,observabilidade/monitoramento; supervisão/escalonamento; compliance/auditoria; feedback/ciclo de vida,técnica; interacional; regulatória; evolutiva,1,ough patient data analysis which includes medical histories and current data to create evidence-based recommendations. The system enables electronic health record (EHR) integration while it protects data privacy and security through its compliance with established standards. The system needs model transparency which should work tog ether with explainability and bias mitigation features to establish trustworthy clinical systems that produce dependable results.The testing results show that the system achieves better documentation accuracy and faster processing times while making better decisions when compared to standard techniques. The study shows that,candidata a evidência de apoio — confirmar critérios,A sugestão combina objeto LLM/conversacional e mecanismos de governança localizados no texto extraído; requer conferência humana.,uso_auxiliar; não determinou elegibilidade ou classificação,uso interpretativo no nível dos achados; sem nível formal para itens incompatíveis,"Extração textual e padrões lexicais podem perder contexto, tabelas, figuras ou negações; verificar PDF.",incluir_apoio,"Estudo elegível com contribuição contextual, periférica ou transferível para as questões da revisão.",1,2026-08-23,proposta_incluir_apoio,"Relevante, mas a contribuição substantiva/regulatória parece periférica; confirmar leitura integral.",validado_pelo_autor,True,True,True,3,apoio,Critérios: objeto=True; contexto=True; contribuição=True; página=1.
