"identificador","titulo","autores","ano","veiculo","doi_ou_url","fonte_recuperacao","estrategia","decisao_fonte","classificacao_publicada","setor","camadas","arquivo_pdf","hash_pdf","status_evidencia","observacao_reconciliacao"
"CAND-000003__b2eab0fd","Auditing large language models: a three-layered approach","Jakob Mökander; Jonas Schuett; Hannah Rose Kirk; Luciano Floridi","2023","AI and Ethics","10.1007/s43681-023-00289-2","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","technology providers and policymakers","application audits | governance audits | model audits","CAND-000003__b2eab0fd.pdf","a03b71802c1e742a223f39d8fabcd363e75b53f217e7abe72282a46c45b3f2f1","llm_evidence_not_found",""
"CAND-000014__13ffd724","AI as a constituted system: accountability lessons from an LLM experiment","Kelsie Nabben","2024","Data & Policy","10.1017/dap.2024.58","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","engineering services; private organization","institutional | organizational | policy | social | technical","CAND-000014__13ffd724.pdf","99a5713a23f7d33d73e25e1ca5e478b22b8ce1eae8831693221d9f9233205db4","verificada conforme registro",""
"CAND-000015__8e2ac83c","Designing meaningful human oversight in AI","Liming Zhu; Qinghua Lu; Ming Ding; Sung Une Lee; Chen Wang","2026","AI and Ethics","10.1007/s43681-026-01147-7","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","multiple (academic peer review, grant evaluation, regulatory compliance documentation)","evaluation criteria for joint agency | oversight signals and governance artifacts | system architecture and interaction contracts | task execution (AI operative agency) | verification and steering (human evaluative agency)","CAND-000015__8e2ac83c.pdf","7dadee8e7df1658453758ba39bc165a0d6f8220d814d7010178668589bfdd023","llm_evidence_not_found",""
"CAND-000024__9a09b906","Trust and Ethics in Chatbots: A Framework for Responsible AI Interactions","P. Sowmya; Vasudeva","2026","IEEE Access","10.1109/ACCESS.2026.3653763","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","education; healthcare; customer service","domain application layer | evaluation layer | monitoring and audit layer | principle layer","CAND-000024__9a09b906.pdf","7b9973774a11788ce4c331bc92a2b74491de3f09d9ef6d53dfdcd5cf54169bc9","verificada conforme registro",""
"CAND-000027__b0ec7058","Ethical Considerations in Personal Health Large Language Models","Jialin Liu; Siru Liu","2026","Journal of Medical Internet Research","10.2196/92240","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","healthcare; personal health; digital health","deployment controls | design controls | implementation mechanisms | postdeployment oversight","CAND-000027__b0ec7058.pdf","3c3b53f12acbd8b284e45f514335ccd6bb567398d368768d1ce048727230f40b","llm_evidence_not_found",""
"CAND-000028__cc541f1f","Personal Health Large Language Models and the Negotiation of Medical Authority in Clinical Care: Opportunities, Risks, and Governance","Wenyi Xie; Jialin Liu; Siru Liu","2026","Journal of Medical Internet Research","10.2196/91727","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","health care","clinical arbitration and workflow integration | competence and accountability | evidence and provenance","CAND-000028__cc541f1f.pdf","237205a9356314a1f4e3cfc85da70239131a7ac9d2ad44d1e563b0cb227ed20a","verificada conforme registro",""
"CAND-000031__1ce54e80","Standardizing and Scaffolding Health Care AI-Chatbot Evaluation: Systematic Review","Yining Hua; Winna Xia; David Bates; George Luke Hartstein; Hyungjin Tom Kim; Michael Li; Benjamin W Nelson; Charles Stromeyer IV; Darlene King; Jina Suh; Li Zhou; John Torous","2025","JMIR AI","10.2196/69006","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","health care","accountability_oversight | monitoring_evaluation | operational_deployment | policy_compliance | risk_safety","CAND-000031__1ce54e80.pdf","d7b52dd08dd5fd9e93661580c9fc97a7f4b21edd9e3d50801570376caddaef4d","verificada conforme registro",""
"CAND-000038__29be9f56","Governing Generative AI in Healthcare: A Normative Conceptual Framework for Epistemic Authority, Trust, and the Architecture of Responsibility","Fatma Eren Akgün; Metin Akgün","2026","Healthcare","10.3390/healthcare14081098","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","healthcare","accountability/responsibility assignment | institutional governance policy | output classification tier | trust justification conditions | verification/oversight intensity","CAND-000038__29be9f56.pdf","e71b71f263c562d465beda93d1bdd4b98117a68239a34e3f90c6e2b63b4a913c","verificada conforme registro",""
"CAND-000050__a8038c66","Safety-focused development and evaluation of an LLM sexual well-being chatbot for women: A methods-focused feasibility study","Alice E McGee, Guy Parsons, Liudmila Zhaunova, Alison Paul, Aliaksandr Kazlou, Yihan Xu, Heorhi Stsefanovich, Anna Klepchukova, András Meczner","2026","unclear","10.1177/20552076261435861","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","digital health / sexual health education","auxiliary_critic_model | clinician_review | content_safeguards | design_requirements | evaluation_pipeline | real_user_monitoring | technical_safeguards","CAND-000050__a8038c66.pdf","619afe857e784573f560d364944680420dd3a51721f890443649f1d9809f4065","llm_evidence_not_found",""
"CAND-000056__ab00b4d6","Generative AI Chatbot for Diabetes Management: Formative 2-Part Qualitative Study Using DTalksBot Involving Patients and Clinicians","Soyun Jeon; Seolhee Lee; Esther Hehsun Kim; Jinsu Eun; Kwangwon Lee; Hajin Lim; Joonhwan Lee","2025","JMIR Formative Research","10.2196/72553","checkpoint_results.jsonl","consultar logs de busca","central_evidence","evidencia_central","health care","human_oversight_layer | interaction_layer | knowledge_retrieval_layer","CAND-000056__ab00b4d6.pdf","ec3d898340e4598577497565d45bb279c48c99e5511a46cd3474d7634a94914b","verificada conforme registro",""
